id,title,description,link,condition,price,sale_price,availability,image_link,gtin,mpn,brand,google product category
6479,ABD 1943 Yılı 1/4 Dolar ÇT,,https://numismat.net/abd-1943-yili-1-4-dolar-ct,Used,245.004,245.004,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/88.jpg,,,,
6480,ABD 1944 Yılı 1/4 Dolar TEMİZ,,https://numismat.net/abd-1944-yili-1-4-dolar-temiz,Used,225.996,225.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/90.jpg,,,,
6481,ABD 1935 Yılı 1/4 Dolar TEMİZ,,https://numismat.net/abd-1935-yili-1-4-dolar-temiz,Used,225.996,225.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/92.jpg,,,,
6482,ABD 1964 Yılı 1/4 Dolar ÇÇT,,https://numismat.net/abd-1964-yili-1-4-dolar-cct,Used,245.004,245.004,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/94.jpg,,,,
00171-020003-00001,ABD 1964 Yılı 1/2 Dolar ÇÇT,,https://numismat.net/abd-1964-yili-1-2-dolar-cct-1,Used,489.996,489.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/100.jpg,,,,
6486,Suudi Arabistan 1951 Yılı 1 Riyal ÇİLALTI,,https://numismat.net/suudi-arabistan-1951-yili-1-riyal-cilalti-1,Used,549.996,549.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/102.jpg,,,,
6488,Almanya 1921 Yılı 25 Pfennig Bremen Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-25-pfennig-bremen-sehri-notgeld-cil,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/2.jpg,,,,
6489,Almanya 1920 Yılı 10 Pfennig Kreis Diepholz Şehri Notgeld Çil,,https://numismat.net/almanya-1920-yili-10-pfennig-kreis-diepholz-sehri-notgeld-cil,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/3.jpg,,,,
6490,Almanya 1921 Yılı 10 Pfennig Kahla Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-10-pfennig-kahla-sehri-notgeld-cil,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/4.jpg,,,,
6491,Almanya 1921 Yılı 75 Pfennig Gransee Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1921-yili-75-pfennig-gransee-sehri-notgeld-cilalti,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/5.jpg,,,,
