model,image,price,link,name_tr
00199-020002-00005,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/24.jpg,200.0000,https://numismat.net/guney-rodezya-zimbabve-1940-yili-6-pence-ct,Güney Rodezya (Zimbabve) 1940 Yılı 6 Pence  ÇT
00200-020002-00006,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/25.jpg,250.0000,https://numismat.net/guney-rodezya-zimbabve-1940-yili-6-pence-cct,Güney Rodezya (Zimbabve) 1940 Yılı 6 Pence  ÇÇT (+)
00201-020002-00007,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/26.jpg,225.0000,https://numismat.net/guney-rodezya-zimbabve-1940-yili-6-pence-cct-1,Güney Rodezya (Zimbabve) 1940 Yılı 6 Pence  ÇÇT
00202-020002-00008,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/27.jpg,225.0000,https://numismat.net/guney-rodezya-zimbabve-1942-yili-6-pence-cct,Güney Rodezya (Zimbabve) 1942 Yılı 6 Pence  ÇÇT
00203-020002-00009,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/28.jpg,225.0000,https://numismat.net/guney-rodezya-zimbabve-1942-yili-6-pence-cct-1,Güney Rodezya (Zimbabve) 1942 Yılı 6 Pence  ÇÇT
00204-020002-00010,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/29.jpg,250.0000,https://numismat.net/guney-rodezya-zimbabve-1942-yili-6-pence-cct-2,Güney Rodezya (Zimbabve) 1942 Yılı 6 Pence  ÇÇT (+)
00205-020001-00055,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/30.jpg,120.0000,https://numismat.net/i-svicre-1963-yili-1-2-frank-ci-l,İsviçre 1963 Yılı 1/2 Frank  ÇİL
00206-020005-00003,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/31.jpg,200.0000,https://numismat.net/malaya-1939-yili-10-cent-ci-l,Malaya 1939 Yılı 10 Cent  ÇİL
00207-020005-00004,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/32.jpg,200.0000,https://numismat.net/malaya-1939-yili-10-cent-ci-l-1,Malaya 1939 Yılı 10 Cent  ÇİL
00208-020005-00005,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/33.jpg,200.0000,https://numismat.net/malaya-1939-yili-10-cent-ci-l-2,Malaya 1939 Yılı 10 Cent  ÇİL
00209-020005-00006,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/34.jpg,200.0000,https://numismat.net/malaya-1939-yili-10-cent-ci-l-3,Malaya 1939 Yılı 10 Cent  ÇİL
00210-020005-00007,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/35.jpg,200.0000,https://numismat.net/malaya-1939-yili-10-cent-ci-l-4,Malaya 1939 Yılı 10 Cent  ÇİL
00211-000005-00004,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/36.jpg,500.0000,https://numismat.net/2024-yili-5-tl-kibris-harekati-nin-50-yil-donumu-ci-l,2024 Yılı 5 TL Kıbrıs Harekâtı'nın 50. Yıl Dönümü ÇİL (-)
00212-000005-00005,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/37.jpg,550.0000,https://numismat.net/2024-yili-5-tl-kibris-harekati-nin-50-yil-donumu-ci-l-1,2024 Yılı 5 TL Kıbrıs Harekâtı'nın 50. Yıl Dönümü ÇİL
00213-020001-00056,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/38.jpg,200.0000,https://numismat.net/guernsey-1956-yili-8-double-ci-l,Guernsey 1956 Yılı 8 Double  ÇİL (+)
00214-020001-00057,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/39.jpg,100.0000,https://numismat.net/jersey-1957-yili-1-12-shilling-ci-l,Jersey 1957 Yılı 1/12 Shilling  ÇİL
00215-020001-00058,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/40.jpg,75.0000,https://numismat.net/birlesik-krallik-1934-yili-1-penny-cct,Birleşik Krallık 1934 Yılı 1 Penny  ÇÇT
00216-000005-00006,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/41.jpg,150.0000,https://numismat.net/2012-yili-1-tl-sayistay-in-150-yili-ci-l,2012 Yılı 1 TL Sayıştay'ın 150. Yılı ÇİL (+)
